Date,Symbols,Close,High,Low,Open,Volume
2020-07-17,PFE,33.1214,33.1926,32.6403,32.7642,24264419.983332
2020-07-17,BNTX,84.4402,85.5793,75.6941,75.8129,5101974.8643371
2020-07-17,MRNA,94.85,95.21,82.61,83.35,103509162.0
2020-07-16,AMZN,149.995,151.6,145.912,148.553,127884920.0
2020-07-16,GOOGL,75.746,75.7955,74.4135,75.075,26484540.0
2020-07-16,META,240.93,241.76,236.3306,238.0,18880705.0
2020-07-16,PFE,32.5251,32.5632,32.2108,32.5251,19129725.358345
2020-07-16,BNTX,75.1493,79.7353,73.8518,79.7353,2875235.98218
2020-07-16,MRNA,81.81,84.2899,79.6,80.1598,27277409.0
2020-07-15,AMZN,150.444,154.918,148.659,154.012,115777480.0
2020-07-15,GOOGL,75.844,76.8165,74.8915,76.1615,31026500.0
2020-07-15,META,240.28,244.82,238.05,241.55,19133562.0
2020-07-15,PFE,32.6354,32.8921,32.407,32.8823,27304902.47535
2020-07-15,BNTX,77.2591,86.7481,76.0705,85.2623,3946167.8066322
2020-07-15,MRNA,80.22,88.37,78.01,87.52,90756071.0
2020-07-14,AMZN,154.2,156.369,147.5,154.45,144638660.0
2020-07-14,GOOGL,76.043,76.14,74.2962,74.6395,38108000.0
2020-07-14,META,239.73,240.33,232.03,236.76,23378056.0
2020-07-14,PFE,32.1874,32.3621,31.8674,32.3152,34116604.458979
2020-07-14,BNTX,83.0832,84.1926,77.2591,81.7857,4794266.9343401
2020-07-14,MRNA,75.04,76.9486,70.6201,74.0,38708760.0
2020-07-13,AMZN,155.2,167.214,153.42,162.553,154408400.0
2020-07-13,GOOGL,75.6115,78.818,75.328,77.497,42954560.0
2020-07-13,META,239.0,250.15,238.42,247.005,24674874.0
2020-07-13,PFE,32.1699,32.6354,31.5385,31.7317,58742868.536547
2020-07-13,BNTX,77.0412,84.0836,75.0304,77.7246,8611356.6227382
2020-07-13,MRNA,71.78,77.7499,63.8,63.89,56617291.0
2020-07-10,AMZN,160.0,160.75,156.785,159.588,109719640.0
2020-07-10,GOOGL,76.9505,77.067,75.036,75.6625,35921260.0
2020-07-10,META,245.07,245.49,239.32,243.685,22982716.0
2020-07-10,PFE,30.909,31.1022,30.5938,30.7538,25398937.353345
2020-07-10,BNTX,69.6916,70.6127,66.3636,66.3636,2901823.5384458
2020-07-10,MRNA,62.61,64.93,62.32,64.65,7407545.0
2020-07-09,AMZN,159.132,159.694,153.7,155.8,127773180.0
2020-07-09,GOOGL,75.933,76.4571,74.7795,75.4965,41836660.0
2020-07-09,META,244.5,246.525,239.24,245.0,22174896.0
2020-07-09,PFE,30.5713,30.9539,30.2434,30.8183,21146255.063665
2020-07-09,BNTX,64.9868,67.3541,63.8972,65.9773,1198112.9228183
2020-07-09,MRNA,64.97,65.35,58.88,62.09,20646142.0
2020-07-08,AMZN,154.056,154.198,150.622,151.13,100752700.0
2020-07-08,GOOGL,75.18,75.5585,74.615,75.04,31765840.0
2020-07-08,META,243.58,246.99,236.59,238.11,29791339.0
2020-07-08,PFE,30.8368,31.4019,30.6719,31.0729,25188672.926402
2020-07-08,BNTX,66.9182,67.9286,65.8287,66.5716,1463504.8918005
2020-07-08,MRNA,61.58,62.46,59.45,60.79,7590861.0
2020-07-07,AMZN,150.006,153.478,149.5,152.928,105150280.0
2020-07-07,GOOGL,74.496,76.066,74.485,74.8065,42363880.0
2020-07-07,META,240.86,247.65,238.82,239.41,27887786.0
2020-07-07,PFE,31.0925,31.3853,31.0232,31.111,26114333.787262
2020-07-07,BNTX,68.6813,70.2166,62.9067,63.3921,2286112.8781317
2020-07-07,MRNA,61.09,61.5,57.44,58.8,8904341.0
2020-07-06,AMZN,152.852,152.994,146.5,146.748,137612840.0
2020-07-06,GOOGL,74.9825,75.5,73.8488,74.4075,44712600.0
2020-07-06,META,240.28,240.4,232.27,233.76,26206158.0
2020-07-06,PFE,31.5297,31.9678,31.4106,31.9327,28194300.743288
2020-07-06,BNTX,64.8877,66.2645,63.7189,64.967,1665263.4040188
2020-07-06,MRNA,59.15,60.73,57.1,58.55,9977316.0
2020-07-02,AMZN,144.515,147.778,143.555,145.6,131867740.0
2020-07-02,GOOGL,73.4965,74.426,72.5532,72.592,57218300.0
